mot	docs
industriel	['67068', '67068', '67383', '67383', '67385', '67386', '67386', '67388', '67554', '67554', '67554', '67554', '67554', '67554', '67554', '67554', '67557', '67558', '67798', '67946', '68273', '68273', '68274', '68275', '68276', '68276', '68278', '68278', '68280', '68383', '68383', '68392', '68641', '68642', '68881', '68881', '68882', '68882', '68882', '68885', '68888', '69534', '69535', '69535', '69541', '69541', '69541', '69815', '69817', '69818', '69819', '70161', '70161', '70161', '70161', '70161', '70166', '70166', '70170', '70420', '70426', '70426', '70748', '70753', '70914', '70915', '70917', '70923', '71358', '71360', '71362', '71362', '71363', '71363', '71614', '71615', '72113', '72116', '72392', '72392', '72392', '72394', '72399', '72629', '72629', '72634', '72937', '72938', '73190', '73875', '73876', '73879', '73879', '73879', '73882', '73884', '74167', '74168', '74172', '74172', '74174', '74450', '74450', '74455', '74456', '74744', '74744', '74744', '74744', '74746', '74747', '74747', '74747', '74747', '75065', '75071', '75457', '75457', '75462', '75462', '75465', '75791', '75792', '75792', '75792', '75793', '75793', '75795', '75795', '75796', '76207', '76211', '76213', '76508', '76508', '76511', '76511']
développer	['67068', '67388', '67389', '67553', '67553', '67554', '67554', '67557', '67795', '67795', '67796', '67798', '67801', '67938', '67939', '67939', '67945', '68274', '68276', '68277', '68277', '68278', '68279', '68384', '68387', '68391', '68392', '68639', '68641', '68642', '68645', '68645', '68881', '68881', '68881', '68881', '68884', '68886', '69177', '69178', '69178', '69182', '69534', '69537', '69811', '69812', '69813', '69813', '69813', '69815', '69815', '69819', '69820', '70420', '70421', '70421', '70421', '70421', '70426', '70748', '70748', '70753', '71357', '71358', '71359', '71359', '71359', '71359', '71360', '71612', '71614', '71614', '71614', '71616', '71621', '71621', '71838', '71838', '71840', '71842', '72115', '72115', '72116', '72121', '72392', '72392', '72394', '72394', '72396', '72399', '72630', '72630', '72630', '72630', '72630', '72935', '73183', '73430', '73434', '73435', '73436', '73686', '73689', '73878', '73879', '74167', '74167', '74167', '74167', '74171', '74171', '74172', '74172', '74176', '74176', '74176', '74450', '74451', '74451', '74455', '74745', '74745', '74745', '74747', '74749', '74749', '75063', '75065', '75067', '75067', '75068', '75069', '75461', '75461', '75462', '75465', '75788', '75789', '75793', '76207', '76207', '76207', '76208', '76208', '76211', '76212', '76507', '76508', '76509', '76510', '76511']
marquantes	['67068']
pour	['67068', '67383', '67383', '67385', '67386', '67388', '67389', '67553', '67554', '67554', '67554', '67554', '67557', '67558', '67794', '67794', '67796', '67800', '67801', '67801', '67802', '67937', '67937', '67938', '67941', '67945', '68273', '68383', '68384', '68388', '68644', '68882', '68884', '69178', '69178', '69179', '69183', '69533', '69533', '69534', '69536', '69537', '69541', '69543', '69814', '69814', '69816', '70161', '70161', '70162', '70163', '70166', '70169', '70422', '70423', '70424', '70425', '70425', '70426', '70746', '70747', '70916', '70918', '71358', '71612', '71612', '71614', '71835', '71837', '71840', '71841', '72115', '72116', '72121', '72392', '72394', '72395', '72397', '72398', '72629', '72629', '72629', '72634', '72934', '72935', '73182', '73185', '73683', '73684', '73686', '73875', '73876', '73881', '73883', '74168', '74168', '74168', '74170', '74452', '74452', '74456', '74745', '74749', '75064', '75064', '75066', '75069', '75070', '75071', '75457', '75457', '75789', '75791', '75792', '75792', '76211', '76212', '76213', '76508', '76509', '76511', '76511', '76511']
édition	['67068', '67945', '67945', '67946', '67946', '68387', '68889', '69541', '69542', '69542', '69542', '69543', '70164', '70167', '70168', '70169', '70169', '70169', '70169', '70169', '70170', '71612', '71612', '71620', '71621', '72116', '72122', '72122', '72122', '72393', '72393', '72400', '72633', '72932', '72933', '72933', '72937', '72937', '72937', '72939', '73190', '73431', '73435', '73438', '73689', '73691', '73881', '73884', '74175', '74176', '74456', '74746', '74748', '74748', '74748', '74752', '75066', '75066', '75464', '75465', '75466', '75795', '75796', '75797', '76209', '76212', '76509', '76511']
nouveau	['67068', '67068', '67071', '67385', '67389', '67389', '67555', '67556', '67557', '67557', '67558', '67558', '67795', '67795', '67795', '67795', '67796', '67802', '67804', '67937', '67938', '67945', '68274', '68276', '68278', '68278', '68279', '68280', '68387', '68390', '68391', '68393', '68638', '68638', '68638', '68638', '68639', '68639', '68639', '68640', '68643', '68644', '68645', '68646', '68881', '68882', '68885', '68887', '69177', '69177', '69178', '69179', '69179', '69179', '69180', '69181', '69183', '69183', '69533', '69533', '69533', '69533', '69533', '69533', '69534', '69538', '69538', '69538', '69538', '69539', '69813', '69814', '69815', '69816', '70164', '70164', '70164', '70169', '70420', '70422', '70423', '70423', '70423', '70426', '70745', '70746', '70748', '70751', '70751', '70751', '70751', '70914', '70914', '70914', '70916', '70918', '70918', '71357', '71358', '71358', '71359', '71359', '71359', '71359', '71359', '71361', '71362', '71614', '71615', '71616', '71616', '71618', '71619', '71835', '71835', '71836', '71837', '71838', '71840', '72116', '72116', '72118', '72118', '72118', '72118', '72120', '72122', '72122', '72392', '72392', '72392', '72393', '72395', '72395', '72395', '72396', '72396', '72396', '72398', '72399', '72629', '72629', '72630', '72631', '72631', '72632', '72637', '72637', '72933', '72933', '72933', '72933', '72933', '72934', '72935', '72935', '72938', '73184', '73185', '73187', '73188', '73189', '73431', '73431', '73431', '73432', '73433', '73433', '73434', '73434', '73683', '73684', '73684', '73685', '73686', '73687', '73875', '73875', '73876', '73876', '73876', '73877', '73878', '73878', '73879', '73880', '74167', '74168', '74168', '74168', '74169', '74170', '74170', '74171', '74171', '74174', '74174', '74175', '74449', '74451', '74452', '74453', '74453', '74454', '74454', '74455', '74455', '74456', '74456', '74744', '74744', '74745', '74746', '74746', '74747', '74747', '74748', '74748', '74748', '74749', '74750', '74751', '74751', '74752', '75063', '75063', '75063', '75065', '75065', '75066', '75067', '75068', '75069', '75069', '75070', '75459', '75461', '75463', '75463', '75789', '75792', '75792', '75796', '75796', '76209', '76209', '76209', '76209', '76211', '76213', '76213', '76213', '76512', '76512', '76513', '76514']
distinction	['67068', '67937', '71357', '71835']
attribuer	['67068', '72932']
réputé	['67068', '67383', '67383', '67795', '67937', '67938', '68387', '68881', '70919', '73683', '73878', '75462']
économiste	['67068', '68882', '69533', '69533', '72398']
